full_name,repo_name,open_issues_count,closed_issues_count,closed_issues_percentage,merged_pull_requests_count,releases_count,hours_since_last_update,primary_language,repo_age_years
wasabeef/awesome-android-ui,awesome-android-ui,37,94,71.76,89,0,5.0,,10.65
necolas/normalize.css,normalize.css,86,461,84.28,56,0,0.0,CSS,14.29
Textualize/rich,rich,288,1223,80.94,836,170,0.0,Python,5.77
Z4nzu/hackingtool,hackingtool,65,321,83.16,56,0,2.0,Python,5.35
psf/requests,requests,274,3860,93.37,1577,13,5.0,Python,14.51
maybe-finance/maybe,maybe,0,0,0.0,1073,28,0.0,Ruby,1.62
pi-hole/pi-hole,pi-hole,52,3042,98.32,2099,118,0.0,Shell,11.19
withastro/astro,astro,210,5397,96.25,7311,2474,0.0,TypeScript,4.42
meilisearch/meilisearch,meilisearch,256,2095,89.11,2145,265,0.0,Rust,7.32
PaddlePaddle/PaddleOCR,PaddleOCR,207,9740,97.92,2930,23,1.0,Python,5.28
appwrite/appwrite,appwrite,813,3459,80.97,3827,112,0.0,TypeScript,6.36
FFmpeg/FFmpeg,FFmpeg,3,0,0.0,16,0,0.0,C,14.34
rclone/rclone,rclone,1164,4811,80.52,2085,114,0.0,Go,11.42
rust-unofficial/awesome-rust,awesome-rust,10,132,92.96,1556,0,1.0,Rust,11.09
tiimgreen/github-cheat-sheet,github-cheat-sheet,39,48,55.17,129,0,0.0,,11.35
ionic-team/ionic-framework,ionic-framework,595,21479,97.3,6288,913,7.0,TypeScript,11.99
google/material-design-icons,material-design-icons,372,1159,75.7,50,16,0.0,,10.86
wagoodman/dive,dive,176,202,53.44,164,28,0.0,Go,7.26
mozilla/pdf.js,pdf.js,448,9872,95.66,8070,76,0.0,JavaScript,14.31
facebookresearch/segment-anything,segment-anything,579,178,23.51,15,0,4.0,Jupyter Notebook,2.4
vuejs/core,core,1094,5092,82.31,3199,245,2.0,TypeScript,7.18
Semantic-Org/Semantic-UI,Semantic-UI,1077,5268,83.03,353,154,27.0,JavaScript,12.36
sickcodes/Docker-OSX,Docker-OSX,404,281,41.02,107,0,0.0,Shell,5.2
JetBrains/kotlin,kotlin,190,0,0.0,2062,265,2.0,Kotlin,13.51
unclecode/crawl4ai,crawl4ai,246,633,72.01,85,8,0.0,Python,1.27
ngosang/trackerslist,trackerslist,6,479,98.76,1,0,4.0,,9.31
google/guava,guava,718,2991,80.64,1013,56,8.0,Java,11.22
